text,sentiment
even cocklane ghost laid round dozen years rapping messages spirits year last past supernaturally deficient originality rapped,negative
likely enough rough outhouses tillers heavy lands adjacent paris sheltered weather day rude carts bespattered rustic mire snuffed pigs roosted poultry farmer death already set apart tumbrils revolution,negative
daring burglaries armed men highway robberies took place capital every night families publicly cautioned go town without removing furniture upholstererswarehouses security highwayman dark city tradesman light recognised challenged fellowtradesman stopped character captain gallantly shot head rode away mall waylaid seven robbers guard shot three dead got shot dead four consequence failure ammunitionafter mall robbed peace magnificent potentate lord mayor london made stand deliver turnham green one highwayman despoiled illustrious creature sight retinue prisoners london gaols fought battles turnkeys majesty law fired blunderbusses among loaded rounds shot ball thieves snipped diamond crosses necks noble lords court drawingrooms musketeers went st,negative
giless search contraband goods mob fired musketeers musketeers fired mob nobody thought occurrences much common way,negative
midst hangman ever busy ever worse useless constant requisition stringing long rows miscellaneous criminals hanging housebreaker saturday taken tuesday burning people hand newgate dozen burning pamphlets door westminster hall today taking life atrocious murderer tomorrow wretched pilferer robbed farmers boy sixpence,negative
things thousand like came pass close upon dear old year one thousand seven hundred seventyfive,positive
environed woodman farmer worked unheeded two large jaws two plain fair faces trod stir enough carried divine rights high hand,positive
ii mail dover road lay friday night late november first persons history business,neutral
walked hill mire side mail rest passengers least relish walking exercise circumstances hill harness mud mail heavy horses three times already come stop besides drawing coach across road mutinous intent taking back blackheath,negative
steaming mist hollows roamed forlornness hill like evil spirit seeking rest finding none,negative
one three could said anything saw either two like hidden almost many wrappers eyes mind eyes body two companions,positive
guard dover mail thought friday night november one thousand seven hundred seventyfive lumbering shooters hill stood particular perch behind mail beating feet keeping eye hand armchest loaded blunderbuss lay top six eight loaded horsepistols deposited substratum cutlass,positive
dover mail usual genial position guard suspected passengers passengers suspected one another guard suspected everybody else coachman sure nothing horses cattle could clear conscience taken oath two testaments fit journey,positive
horses stopped breathe guard got skid wheel descent open coachdoor let passengers,negative
say horse canter coming joe,neutral
say horse gallop tom returned guard leaving hold door mounting nimbly place,neutral
guard sang loud could roar,neutral
pace suddenly checked much splashing floundering mans voice called mist dover mail,neutral
booked passenger showed moment name,neutral
gentleman name lorry answer straight,positive
asked passenger mildly quavering speech,neutral
hes hoarser suits jerry,neutral
know messenger guard said mr,neutral
lorry getting roadassisted behind swiftly politely two passengers immediately scrambled coach shut door pulled window,positive
may come close theres nothing wrong,positive
hope aint cant make nation sure said guard gruff soliloquy,positive
figures horse rider came slowly eddying mist came side mail passenger stood,neutral
rider stooped casting eyes guard handed passenger small folded paper,neutral
said passenger tone quiet business confidence,positive
watchful guard right hand stock raised blunderbuss left barrel eye horseman answered curtly sir,positive
opened light coachlamp side readfirst aloud wait dover mamselle,neutral
words passenger opened coachdoor got assisted fellowpassengers expeditiously secreted watches purses boots making general pretence asleep,neutral
thats coincidence guard mused made,neutral
jerry left alone mist darkness dismounted meanwhile ease spent horse wipe mud face shake wet hatbrim might capable holding half gallon,positive
standing bridle heavilysplashed arm wheels mail longer within hearing night quite still turned walk hill,neutral
gallop temple bar old lady wont trust forelegs till get level said hoarse messenger glancing mare,negative
youd blazing bad way recalling life come fashion jerry,negative
iii night shadows wonderful fact reflect upon every human creature constituted profound secret mystery every,positive
solemn consideration enter great city night every one darkly clustered houses encloses secret every room every one encloses secret every beating heart hundreds thousands breasts imaginings secret heart nearest,positive
turn leaves dear book loved vainly hope time read,positive
burialplaces city pass sleeper inscrutable busy inhabitants innermost personality,neutral
natural alienated inheritance messenger horseback exactly possessions king first minister state richest merchant london,positive
messenger rode back easy trot stopping pretty often alehouses way drink evincing tendency keep counsel keep hat cocked eyes,positive
sinister expression old cockedhat like threecornered spittoon great muffler chin throat descended nearly wearers knees,positive
stopped drink moved muffler left hand poured liquor right soon done muffled,positive
bust dont think hed drinking,neutral
message perplexed mind degree fain several times take hat scratch head,negative
except crown raggedly bald stiff black hair standing jaggedly growing hill almost broad blunt nose,positive
like smiths work much like top strongly spiked wall head hair best players leapfrog might declined dangerous man world go,positive
time mailcoach lumbered jolted rattled bumped upon tedious way three fellow inscrutables inside,neutral
bank passengerwith arm drawn leathern strap lay keep pounding next passenger driving corner whenever coach got special joltnodded place half shut eyes little coachwindows coachlamp dimly gleaming bulky bundle opposite passenger became bank great stroke business,positive
rattle harness chink money drafts honoured five minutes even tellsons foreign home connection ever paid thrice time,positive
strongrooms underground tellsons valuable stores secrets known passenger little knew opened went among great keys feeblyburning candle found safe strong sound still last seen,positive
