text,sentiment
hope able confide everything never able confide anyone hope great source comfort support comment added anne september far truly areat source comfort kitty,positive
ill begin moment got moment saw lying table among birthday presents went along bought doesnt count friday june awake six oclock isnt surprising since birthday im allowed get hour control curiosity quarter seven couldnt wait longer went dining room moortje cat welcomed rubbing legs little seven went daddy mama living room open presents first thing saw maybe one nicest presents bouquet roses peonies potted plant daddy mama got blue blouse game bottle grape juice mind tastes bit like wine wine made grapes puzzle jar cold cream guilders gift certificate two books got another book well camera obscura margot already exchanged mine something else platter homemade cookies made course since ive become quite expert baking cookies lots candy strawberry tart mother letter grammy right time course coincidence hanneli came pick went school recess passed cookies teachers class time get back work didnt arrive home five since went gym rest class im allowed take part shoulders hips tend get dislocated birthday got decide game classmates would play chose volleyball afterward danced around circle sang happy birthday got home sanne ledermann already ilse wagner hanneli goslar jacqueline van maarsen came home gym since class hanneli sanne used two best friends people saw us together used say goes anne hanne sanne met jacqueline van maarsen started jewish lyceum shes best friend ilse hannelis best friend sanne goes another school friends gave beautiful book dutch sasas lesends gave volume ii mistake exchanged two books volume aunt helene brought puzzle,positive
birthday party sunday afternoon rin tin tin movie big hit classmates got two brooches bookmark two books ill start saying things school class beginning students betty bloemendaal looks kind poor think probably lives obscure street west amsterdam none us know well school thats works hard shes smart shes pretty quiet jacqueline van maarsen supposedly best friend ive never real friend first thought jacque would one badly mistaken dq initials assigned random persons prefer remain anonymous nervous girl whos always forgetting things teachers keep assigning extra homework punishment shes kind especially gz es talks much isnt funny shes always touching hair fiddling buttons asks something say cant stand dont care since dont like much either henny mets nice girl cheerful disposition except talks loud voice really childish playing outdoors unfortunately henny girlfriend named beppy whos bad influence shes dirty vulgar jr could write whole book detestable sneaky stuckup twofaced gossip thinks shes grownup shes really got jacque spell thats shame easily offended bursts tears slightest thing top terrible showoff miss always right shes rich closet full adorable dresses way old thinks shes gorgeous shes cant stand ilse wagner nice girl cheerful disposition shes extremely finicky spend hours moaning groaning something ilse likes lot shes smart lazy hanneli goslar lies shes called school bit strange side shes usually shy outspoken horne reserved around people blabs whatever tell mother says thinks lately ive corne appreciate great deal nannie van praagsigaar small funny sensible think shes nice shes pretty smart isnt much else say nannie eefje de jong opinion terrific though shes twelve shes quite lady acts baby shes also helpful like gz prettiest girl class nice face kind dumb think theyre going hold back year course havent told comment added anne later date areat surprise gz wasnt held back year sitting next gz last us twelve girls theres lot said boys maybe much maurice coster one many admirers pretty much pest sallie springer filthy mind rumor hes gone way still think hes terrific hes funny emiel bonewit gzs admirer doesnt care hes pretty boring rob cohen used love cant stand anymore hes obnoxious twofaced lying sniveling little goof awfully high opinion max van de velde farm boy medemblik eminently suitable margot would say herman koopman also filthy mind like jopie de beer whos terrible flirt absolutely girlcrazy leo blom jopie de beers best friend ruined dirty mind albert de mesquita came montessori school skipped grade hes really smart leo slager came school isnt smart ru stoppelmon short goofy boy almelo transferred school middle year cn whatever hes supposed jacques kocernoot sits behind us next laugh silly harry schaap decent boy class hes nice werner joseph nice,positive
writing diary really strange experience someone like ive never written anything also seems later neither anyone else interested musings thirteenyearold schoolgirl oh well doesnt matter feel like writing even greater need get kinds things chest paper patience people thought saying one days feeling little depressed sitting home chin hands bored listless wondering whether stay go finally stayed brooding yes paper patience since im planning let anyone else read stiffbacked notebook grandly referred diary unless ever find real friend probably wont make bit difference im back point prompted keep diary first place dont friend let put clearly since one believe thirteen yearold girl completely alone world im loving parents sixteenyearold sister thirty people call friends throng admirers cant keep adoring eyes sometimes resort using broken pocket mirror try catch glimpse classroom family loving aunts good home surface seem everything except one true friend think im friends good time cant bring talk anything ordinary everyday things dont seem able get closer thats problem maybe fault dont confide case thats things unfortunately theyre liable change ive started diary enhance image longawaited friend imagination dont want jot facts diary way people would want diary friend im going call friend kitty since one would understand word stories kitty plunge right id better provide brief sketch life much dislike father adorable father ive ever seen didnt marry mother thirtysix twentyfive sister margot born frankfurt main germany born june lived frankfurt four jewish father immigrated holland became managing director dutch opekta company manufactures products used making jam mother edith hollander frank went holland september margot sent aachen stay grandmother margot went holland december followed february plunked table birthday present margot started right away montessori nursery school stayed six time started first grade sixth grade teacher mrs kuperus principal end year tears said heartbreaking farewell id accepted jewish lyceum margot also went school lives without anxiety since relatives germany suffering hitlers antijewish laws pogroms two uncles mothers brothers fled germany finding safe refuge north america elderly grandmother came live us seventythree years old time may good times far first war capitulation arrival germans trouble started jews freedom severely restricted series antijewish decrees jews required wear yellow star jews required turn bicycles jews forbidden use streetcars jews forbidden ride cars even jews required shopping pm jews required frequent jewishowned barbershops beauty parlors jews forbidden streets pm jews forbidden attend theaters movies forms entertainment jews forbidden use swimming pools tennis courts hockey fields athletic fields jews forbidden go rowing jews forbidden take part athletic activity public jews forbidden sit gardens friends pm jews forbidden visit christians homes jews required attend jewish schools etc couldnt couldnt life went jacque always said dont dare anything anymore cause im afraid allowed summer grandma got sick operation birthday passed little celebration summer didnt much birthday either since fighting ended holland grandma died january one knows often think still love birthday celebration intended make others grandmas candle lit along rest four us still well brings present date june solemn dedication diary dearest kitty let get started right away nice quiet father mother margot gone play pingpong young people friend treess ive playing lot pingpong lately much five us girls formed club called little dipper minus two really silly name based mistake wanted give club special name five us came idea little dipper thought consisted five stars turned wrong seven like big dipper explains minus two ilse wagner pingpong set wagners let us play big dining room whenever want since five pingpong players like ice cream especially summer since get hot playing pingpong games usually end visit nearest icecream parlor allows jews either oasis delphi weve long since stopped hunting around purses money time busy oasis manage find generous young men acquaintance admirer offer us ice cream could eat week youre probably little surprised hear talking admirers tender age unfortunately case may vice seems rampant school soon boy asks bicycle home get talking nine times ten sure hell become enamored spot wont let sight second ardor eventually cools especially since ignore passionate glances pedal blithely way gets bad start rambling asking fathers permission swerve slightly bike schoolbag falls young man feels obliged get bike hand bag time ive switched conversation another topic innocent types course,positive
dearest kitty entire class quaking boots reason course upcoming meeting teachers decide wholl promoted next grade wholl kept back half class making bets gz laugh sick two boys behind us cn jacques kocernoot staked entire vacation savings bet morning night youre going pass im yes im even gs pleading glances angry outbursts cant calm ask many dummies quarter class kept back teachers unpredictable creatures earth maybe time theyll unpredictable right direction change im worried girlfriends well make subject im sure math anyway wait keep telling lose heart get along pretty well teachers nine seven men two women mr keesing old fogey teaches math mad longest time talked much several warnings assigned extra homework essay subject chatterbox chatterbox write id wbrry later decided jotted assignment notebook tucked bag tried keep quiet evening id finished rest homework note essay caught eye began thinking subject chewing tip fountain pen anyone could ramble leave big spaces words trick come convincing arguments prove necessity talking thought thought suddenly idea wrote three pages mr keesing assigned satisfied argued talking female trait would best keep control would never able break habit since mother talked much theres much inherited traits mr keesing good laugh arguments proceeded talk way next class assigned second essay time supposed incorrigible chatterbox handed mr keesing nothing complain two whole classes however third class hed finally enough anne frank punishment talking class write essay entitled quack quack quack said mistress chatterback class roared laugh though id nearly exhausted ingenuity topic chatterboxes time come something else something original friend sanne whos good poetry offered help write essay beginning end verse jumped joy keesing trying play joke ridiculous subject id make sure joke finished poem beautiful mother duck father swan three baby ducklings bitten death father quacked much luckily keesing took joke right way read poem class adding comments,positive
dearest kitty sweltering everyone huffing puffing heat walk everywhere realize pleasant streetcar jews longer allowed make use luxury two feet good enough us yesterday lunchtime appointment dentist jan luykenstraat long way school stadstimmertuinen afternoon nearly fell asleep desk fortunately people automatically offer something drink dental assistant really kind mode transportation left us ferry ferryman josef israelkade took us across asked fault dutch jews bad time wish didnt go school bike stolen easter vacation father gave mothers bike christian friends safekeeping thank goodness summer vacation almost one week torment something unexpected happened yesterday morning passing bicycle racks heard name called turned around nice boy id met evening friend wilmas hes wilmas second cousin used think wilma nice ever talks boys gets bore came toward somewhat shyly introduced hello silberberg little surprised wasnt sure wanted didnt take long find asked would allow accompany school long youre headed way,positive
dearest kitty today honestly couldnt find time write friends day thursday company friday thats went today hello gotten know well past week hes told lot life comes gelsenkirchen living grandparents parents belgium theres way get hello used girlfriend named ursula know shes perfectly sweet perfectly boring ever since met hello realized hes falling asleep ursuls side im kind pep tonic never know youre good jacque spent saturday night sunday afternoon hannelis bored stiff hello supposed come evening called around six answered phone said helmuth silberberg may please speak anne oh hello anne oh hi anne fine thanks wanted say im sorry cant come tonight though would like word right come pick ten minutes yes thats fine byebye okay ill right byebye hung quickly changed clothes fixed hair nervous leaned window watch finally showed miracle miracles didnt rush stairs waited quietly rang bell went open door got right point anne grandmother thinks youre young seeing regular basis says going lowenbachs probably know im going ursul anymore didnt know happened two fight nothing like told ursul werent suited better us go together anymore welcome house hoped would welcome actually thought ursul hanging around another boy treated wasnt true uncle said apologize course didnt feel like thats broke one reasons grandmother wants see ursul dont agree im going sometimes old people really oldfashioned ideas doesnt mean go along need grandparents certain sense need ill free wednesday evenings see grandparents made sign woodcarving class actually go club organized zionists grandparents dont want go theyre antizionists im fanatic zionist interests anyway mess lately im planning quit next wednesday last meeting means see wednesday evening saturday afternoon saturday evening sunday afternoon maybe even grandparents dont want shouldnt go behind backs alls fair love war passed blankevoorts bookstore peter schiff two boys first time hed said hello ages really made feel good monday evening hello came meet father mother bought cake candy tea cookies works neither hello felt like sitting stiffly chairs went walk didnt deliver door ten past eight father furious said wrong get home time promise home ten eight future ive asked hellos saturday wilma told one night hello house asked like best ursul anne said none business leaving hadnt talked rest evening said well like anne better dont tell anyone bye whoosh door everything says see hello love kind nice change margot would say hello eminently suitable think hes mother also full praise goodlooking boy nice polite im glad hes popular everyone except girlfriends thinks theyre childish hes right jacque still teases im love really right boys friends nobody minds mother always asking im going marry grow bet shell never guess peter talked idea without batting eyelash love peter ive never loved anyone tell hes going around girls hide feelings maybe thinks hello love hes friend,positive
dear kitty graduation ceremony jewish theater friday went expected report card wasnt bad got one algebra rest bs except two bs two bs parents pleased theyre like parents comes grades never worry report cards good bad long im healthy happy dont talk back much theyre satisfied three things right everything else take care im opposite dont want poor student accepted jewish lyceum conditional basis supposed stay seventh grade montessori school jewish children required go jewish schools mr elte finally agreed great deal persuasion accept lies goslar lies also passed year though repeat geometry exam poor lies isnt easy study home baby sister spoiled little twoyearold plays room day gabi doesnt get way starts screaming lies doesnt look mrs goslar starts screaming lies hard time homework long thats case tutoring shes getting wont help much goslar household really sight mrs goslars parents live next door eat family theres hired girl baby always absentminded absent mr goslar always nervous irrita ie mrs goslar whos expecting another baby lies whos thumbs gets lost mayhem sister margot also gotten report card brilliant usual thing cum laude would passed honors shes smart father home lot lately theres nothing office must awful feel youre needed mr kleiman taken opekta mr kugler gies co company dealing spices spice substitutes set days ago taking stroll around neighborhood square father began talk going hiding said would hard us live cut rest world asked bringing well anne replied know year weve bringing clothes food furniture people dont want belongings seized germans want fall clutches well leave accord wait hauled away father sounded serious felt scared dont worry well take care everything enjoy carefree life oh may somber words come true long possible doorbells ringing,positive
dearest kitty seems like years since sunday morning much happened whole world suddenly turned upside see kitty im still alive thats main thing father says im alive right dont ask probably dont understand word im saying today ill begin telling happened sunday afternoon three oclock hello left supposed come back later doorbell rang didnt hear since balcony lazily reading sun little later margot appeared kitchen doorway looking agitated father received callup notice ss whispered mother gone see mr van daan mr van daan fathers business partner good friend stunned callup everyone knows means visions concentration camps lonely cells raced head could let father go fate course hes going declared margot waited mother living room mothers gone mr van daan ask whether move hiding place tomorrow van daans going us seven us altogether silence couldnt speak thought father visiting someone jewish hospital completely unaware happening long wait mother heat suspense reduced us silence suddenly doorbell rang thats hello said dont open door exclaimed margot stop wasnt necessary since heard mother mr van daan downstairs talking hello two came inside shut door behind every time bell rang either margot tiptoe downstairs see father didnt let anyone else margot sent room mr van daan wanted talk mother alone sitting bedroom margot told callup father second shock began cry margot sixteen apparently want send girls age away thank goodness wont going mother said must father meant talked going hiding hiding would hide city country house shack questions wasnt allowed ask still kept running mind margot started packing important belongings schoolbag first thing stuck diary curlers handkerchiefs schoolbooks comb old letters preoccupied thought going hiding stuck craziest things bag im sorry memories mean dresses father finally came hqme around five oclock called mr kleiman ask could come evening mr van daan left went get miep miep arrived promised return later night taking bag full shoes dresses jackets underwear stockings quiet apartment none us felt like eating still hot everything strange rented big upstairs room mr goldschmidt divorced man thirties apparently nothing evening since despite polite hints hung around ten oclock miep jan gies came eleven miep whos worked fathers company since become close friend husband jan shoes stockings books underwear disappeared mieps bag jans deep pockets eleventhirty disappeared exhausted even though knew itd last night bed fell asleep right away didnt wake mother called fivethirty next morning fortunately wasnt hot sunday warm rain fell throughout day four us wrapped many layers clothes looked going spend night refrigerator could take clothes us jew situation would dare leave house suitcase full clothes wearing two undershirts three pairs underpants dress skirt jacket raincoat two pairs stockings heavy shoes cap scarf lots suffocating even left house one bothered ask felt margot stuffed schoolbag schoolbooks went get bicycle miep leading way rode great unknown rate thats thought since still didnt know hiding place seventhirty closed door behind us moortje cat living creature said goodbye according note left mr goldschmidt taken neighbors would give good home stripped beds breakfast things table,negative
dearest kitty father mother walking pouring rain us schoolbag shopping bag filled brim varied assortment items people way work early hour gave us sympathetic looks could tell faces sorry couldnt offer us kind transportation conspicuous yellow star spoke walking street father mother reveal little little plan months wed moving much furniture apparel apartment could agreed wed go hiding july margots callup notice plan moved ten days meant wed make less orderly rooms hiding place located fathers office building thats little hard outsiders understand ill explain father didnt lot people working office mr kugler mr kleiman miep twentythreeyearold typist named bep voskuijl informed coming mr voskuijl beps father works warehouse along two assistants none told anything heres description building large warehouse ground floor used workroom storeroom divided several different sections stockroom milling room cinnamon cloves pepper substitute ground next warehouse doors another outside door separate entrance office inside office door second door beyond stairway top stairs another door frosted window word office written black letters big front office large light full bep miep mr kleiman work day passing alcove containing safe wardrobe big supply cupboard come small dark stuffy back office used shared mr kugler mr van daan mr kugler occupant mr kuglers office also reached hallway glass door opened inside easily outside leave mr kuglers office proceed long narrow hallway past coal bin go four steps find private office showpiece entire building elegant mahogany furniture linoleum floor covered throw rugs radio fancy lamp everything first class next door spacious kitchen hotwater heater two gas burners beside bathroom thats second floor wooden staircase leads downstairs hallway third floor top stairs landing doors either side door left takes spice storage area attic loft front part house typically dutch steep ankletwisting flight stairs also runs front part house another door opening onto street door right landing leads secret annex back ofthe house one would ever suspect many rooms behind plain gray door theres one small step front door youre inside straight ahead steep flight stairs left narrow hallway opening onto room serves frank familys living insert map room bedroom next door smaller room edroom study two young ladies family ro right stairs windowless washroom link door corner leads toilet another one margots room go itairs open door top youre surprised see large light spacious room old canalside house like contains stove thanks fact hat used mr kuglers laboratory sink kitchen bedroom mr mrs van daan well general living room dining room study us tiny side room peter van daans bedroom,positive
